route_id,topsis_selected,topsis_rank,topsis_closeness,steps,horizontal_length_m,terrain_following_length_m,flight_time_s,average_ground_speed_mps,navigation_deficit_s,average_navigation_quality,visibility_deficit_s,average_visibility,energy_used_wh,battery_remaining_wh,minimum_altitude_msl_m,maximum_altitude_msl_m
0,False,4237,0.5827162638593513,39,2397.056274847715,2399.850512660958,120.60204633138943,19.87575126429531,29.244799551475147,0.7575099225835978,20.519439107280654,0.8298582840717521,15.075255791423679,284.9247442085763,228.5126190185547,250.78634643554688
1,False,4233,0.5864946141043753,39,2397.056274847715,2399.8686909685216,120.61303884987922,19.873939813681393,28.730161871833158,0.7617988722795377,20.519439107280654,0.829873790570685,15.076629856234902,284.9233701437651,228.5126190185547,250.78634643554688
2,False,4229,0.5878902320507826,39,2397.056274847715,2399.976602159378,120.6343275335562,19.87043260286703,28.535032168089636,0.7634584388083715,20.519439107280654,0.8299038132278487,15.079290941694525,284.9207090583055,228.46934509277344,250.78634643554688
3,False,4228,0.5901072090320321,39,2397.056274847715,2400.0036805449654,120.64913110707265,19.867994513117516,28.229687076349915,0.7660183142861022,20.519439107280654,0.8299246839244102,15.08114138838408,284.9188586116159,228.46934509277344,250.78634643554688
4,False,4218,0.593855316020208,39,2397.056274847715,2400.021858852529,120.66012362556243,19.86618447604414,27.715049396707926,0.77030481517892,20.519439107280654,0.8299401783230602,15.082515453195306,284.9174845468047,228.46934509277344,250.78634643554688
5,False,4214,0.5947487304763873,39,2397.056274847715,2399.9591748823254,120.70696344605514,19.85847548819317,27.57987231921811,0.7715138254509752,20.519439107280654,0.8300061693089401,15.088370430756893,284.91162956924313,228.5126190185547,250.78634643554688
6,False,4219,0.5937258060919702,39,2397.056274847715,2400.1550120290376,120.71183668801658,19.857673784245204,27.536278447599383,0.7718841896278347,20.632354348916248,0.8290776205962205,15.088979586002072,284.9110204139979,228.46934509277344,250.78634643554688
7,False,4208,0.5955888343719955,39,2397.056274847715,2400.0116419276796,120.72404956888616,19.855664910245864,27.45985525178953,0.7725403070071741,20.519439107280654,0.830030228603522,15.09050619611077,284.90949380388923,228.5126190185547,250.78634643554688
8,False,4217,0.5945685810609402,39,2397.056274847715,2400.1179893445974,120.72700017870372,19.85517963089881,27.3858619369623,0.7731587640177845,20.650663555340103,0.828947430775449,15.090875022337965,284.90912497766203,228.46934509277344,250.78634643554688
9,False,4211,0.5954230765060686,39,2397.056274847715,2400.1127394486766,120.7279679719776,19.85502046554863,27.2661073113877,0.7741525201706659,20.651341010631825,0.828943190566868,15.0909959964972,284.9090040035028,228.46934509277344,250.78634643554688
10,False,4188,0.5982477555363255,39,2397.056274847715,2400.136167652161,120.7379926971935,19.853371927918705,26.87122425732031,0.7774418502657041,20.650663555340103,0.8289630041545314,15.092249087149188,284.9077509128508,228.46934509277344,250.78634643554688
11,False,4175,0.5990932255978899,39,2397.056274847715,2400.1309177562403,120.73896049046739,19.853212791549318,26.75146963174571,0.7784354816119375,20.651341010631825,0.828958764207165,15.092370061308424,284.90762993869157,228.46934509277344,250.78634643554688
