route_id,topsis_selected,topsis_rank,topsis_closeness,steps,horizontal_length_m,terrain_following_length_m,flight_time_s,average_ground_speed_mps,navigation_deficit_s,average_navigation_quality,visibility_deficit_s,average_visibility,energy_used_wh,battery_remaining_wh,minimum_altitude_msl_m,maximum_altitude_msl_m
0,False,656,0.3947360238734181,36,3624.264068711929,3624.9940840036666,205.19689478741245,17.66237287589917,39.21379268365406,0.8088967538993208,30.29161264396221,0.8523778214317286,25.649611848426556,274.35038815157344,263.58477783203125,287.0068054199219
1,False,655,0.3948350270740559,36,3624.264068711929,3625.0253353027692,205.21620873502602,17.660710579599286,39.133391560180264,0.8093065269970509,30.29161264396221,0.8523917149104213,25.652026091878252,274.34797390812173,263.58477783203125,287.0068054199219
2,False,654,0.3953639185182274,36,3624.264068711929,3625.066820517723,205.2464639913541,17.65810722500242,38.79694023525888,0.8109738921646261,30.29161264396221,0.8524134737578806,25.65580799891926,274.3441920010807,263.58477783203125,287.0068054199219
3,False,633,0.446727784959136,36,3624.264068711929,3624.927960522399,205.25701062626794,17.65719990588283,39.31143884349078,0.8084769980642996,26.31856633390328,0.871777503464551,25.657126328283493,274.3428736717165,263.58477783203125,287.0068054199219
4,False,632,0.4468457081723205,36,3624.264068711929,3624.959211821502,205.2763245738815,17.655538583103922,39.23103772001697,0.8088866906524468,26.31856633390328,0.8717895676058303,25.65954057173519,274.3404594282648,263.58477783203125,287.0068054199219
5,False,629,0.44743738293948565,36,3624.264068711929,3625.0006970364557,205.30657983020959,17.652936752973183,38.89458639509559,0.8105536294683698,26.31856633390328,0.8718084614936892,25.6633224787762,274.3366775212238,263.58477783203125,287.0068054199219
6,False,726,0.3544743994499517,36,3624.264068711929,3625.003475282597,205.36750500553202,17.647699759581254,38.75181821745832,0.8113050152875234,34.426238317556475,0.8323676459105391,25.670938125691503,274.3290618743085,263.58477783203125,287.0068054199219
7,False,657,0.3942253004903691,36,3624.264068711929,3625.077856569181,205.38517679612332,17.646181312829476,38.646148902496584,0.8118357444030204,30.38871160730069,0.8520403853805565,25.67314709951542,274.3268529004846,263.58477783203125,287.0068054199219
8,False,724,0.355071770950804,36,3624.264068711929,3625.0762117966533,205.41707420947367,17.643441192313414,38.33496576906313,0.8133798472371818,34.426238317556475,0.8324080972818726,25.67713427618421,274.32286572381577,263.58477783203125,287.0068054199219
9,False,757,0.3391037553199231,36,3624.264068711929,3624.9216855701784,205.50393098967422,17.635984145208564,38.01479822021921,0.8150166858748347,36.73714139814991,0.8212338750834124,25.687991373709277,274.3120086262907,263.58477783203125,286.8056945800781
